Student ID,GPA,Accepted,Undergraduate Major,Extracurricular Activities,Projects,Skills
1,3.6639950556843015,0,Engineering,Internship,Big Data Analysis with Spark,"Data Cleaning, Software Development, Database Management"
2,3.8464507394322007,1,Other,Volunteer Work,Data Visualization Dashboard using Power BI,"Machine Learning, Cloud Computing, Data Cleaning"
3,3.858614494659736,1,Computer Science,None,Predictive Maintenance System using IoT,"Statistical Analysis, Database Management, AI and Deep Learning"
4,3.657129716394726,0,Engineering,None,Real-Time Data Processing with Apache Kafka,"Web Development, AI and Deep Learning, Statistical Analysis"
5,4.0,0,Computer Science,Research,Capstone Project: AI-Powered Chatbot,"Cloud Computing, Data Cleaning, Machine Learning"
6,3.8947665841823573,0,Engineering,None,Machine Learning Model for Predictive Analysis,"Problem Solving, Web Development, AI and Deep Learning"
7,3.56173930055947,0,Computer Science,Volunteer Work,Capstone Project: AI-Powered Chatbot,"Statistical Analysis, Data Cleaning, Problem Solving"
8,3.9313107217267658,1,Computer Science,Internship,Big Data Analysis with Spark,"Problem Solving, Cloud Computing, Software Development"
9,3.6050636659545354,0,Computer Science,Research,Capstone Project: AI-Powered Chatbot,"Web Development, Problem Solving, Software Development"
10,3.95741692074849,1,Mathematics,Research,Deep Learning for Image Recognition,"Data Cleaning, Cloud Computing, AI and Deep Learning"
11,4.0,0,Physics,Internship,Financial Forecasting with Time Series Analysis,"Problem Solving, Database Management, Software Development"
12,3.6358635363296576,1,Mathematics,None,Machine Learning Model for Predictive Analysis,"Software Development, AI and Deep Learning, Data Cleaning"
13,3.9926752258488643,1,Other,Internship,Sentiment Analysis on Social Media Data,"Data Cleaning, Problem Solving, Software Development"
14,3.8825561853872994,0,Engineering,None,Big Data Analysis with Spark,"Problem Solving, Web Development, Statistical Analysis"
15,3.964412031998898,0,Engineering,Internship,Machine Learning Model for Predictive Analysis,"Statistical Analysis, Database Management, Cloud Computing"
16,4.0,0,Chemistry,Volunteer Work,Capstone Project: AI-Powered Chatbot,"Software Development, Machine Learning, Problem Solving"
17,3.7509223767994255,0,Computer Science,None,Deep Learning for Image Recognition,"Data Visualization, Data Cleaning, Database Management"
18,3.6492527671285018,0,Other,Volunteer Work,Web Application Development using Flask,"Web Development, Statistical Analysis, Data Cleaning"
19,3.622097114074895,0,Computer Science,Research,Real-Time Data Processing with Apache Kafka,"Statistical Analysis, Data Cleaning, Cloud Computing"
20,3.636837943006912,0,Other,Internship,Sentiment Analysis on Social Media Data,"Statistical Analysis, Data Cleaning, Data Visualization"
21,3.784579658117179,0,Computer Science,Research,Real-Time Data Processing with Apache Kafka,"Machine Learning, Data Cleaning, Database Management"
22,3.8682303949633288,0,Chemistry,Research,Machine Learning Model for Predictive Analysis,"Data Cleaning, Data Visualization, Software Development"
23,3.8553381598660037,0,Mathematics,Research,Deep Learning for Image Recognition,"Data Cleaning, AI and Deep Learning, Software Development"
24,3.9654366498072045,0,Other,Research,Deep Learning for Image Recognition,"Web Development, Data Cleaning, AI and Deep Learning"
25,3.802600378375581,0,Computer Science,Internship,Capstone Project: AI-Powered Chatbot,"Statistical Analysis, Machine Learning, AI and Deep Learning"
26,4.0,1,Mathematics,Research,Predictive Maintenance System using IoT,"Web Development, Software Development, Problem Solving"
27,3.747068633352409,0,Other,Internship,Capstone Project: AI-Powered Chatbot,"Problem Solving, Web Development, Cloud Computing"
28,4.0,0,Mathematics,Internship,Predictive Maintenance System using IoT,"Software Development, Data Visualization, Data Cleaning"
29,3.925133469553001,0,Mathematics,Volunteer Work,Predictive Maintenance System using IoT,"AI and Deep Learning, Web Development, Problem Solving"
30,3.628568488716743,0,Mathematics,None,Sentiment Analysis on Social Media Data,"Cloud Computing, Database Management, Data Cleaning"
31,3.5858215003877776,0,Engineering,None,Capstone Project: AI-Powered Chatbot,"Problem Solving, Statistical Analysis, Machine Learning"
32,3.8964944830486368,0,Mathematics,Internship,Web Application Development using Flask,"Database Management, Data Visualization, Cloud Computing"
33,3.7553074429348294,0,Mathematics,Volunteer Work,Data Visualization Dashboard using Power BI,"Data Cleaning, Statistical Analysis, Machine Learning"
34,3.9428000988184184,1,Other,Internship,Data Visualization Dashboard using Power BI,"AI and Deep Learning, Statistical Analysis, Data Cleaning"
35,3.894647524914709,1,Computer Science,Internship,Capstone Project: AI-Powered Chatbot,"Database Management, Problem Solving, Cloud Computing"
36,3.7854342174686253,1,Engineering,Internship,Capstone Project: AI-Powered Chatbot,"Database Management, AI and Deep Learning, Software Development"
37,3.6306412563863186,0,Other,Volunteer Work,Real-Time Data Processing with Apache Kafka,"Problem Solving, AI and Deep Learning, Data Visualization"
38,3.497030555062827,0,Chemistry,None,Sentiment Analysis on Social Media Data,"Problem Solving, Cloud Computing, Database Management"
39,3.7106970095865957,1,Engineering,Volunteer Work,Capstone Project: AI-Powered Chatbot,"AI and Deep Learning, Data Cleaning, Web Development"
40,3.971279758864694,0,Mathematics,Research,Real-Time Data Processing with Apache Kafka,"Software Development, Database Management, Problem Solving"
41,3.8428187488260406,0,Engineering,Volunteer Work,Predictive Maintenance System using IoT,"Web Development, Data Visualization, Problem Solving"
42,3.550852244257602,0,Computer Science,Volunteer Work,Deep Learning for Image Recognition,"Cloud Computing, Database Management, Statistical Analysis"
43,3.834636185170236,0,Engineering,Volunteer Work,Deep Learning for Image Recognition,"Data Visualization, AI and Deep Learning, Problem Solving"
44,3.8770634759457674,1,Engineering,Volunteer Work,Predictive Maintenance System using IoT,"Data Cleaning, Problem Solving, Machine Learning"
45,3.6232285127597734,0,Mathematics,None,Big Data Analysis with Spark,"Database Management, Machine Learning, Data Cleaning"
46,3.8307450211891054,0,Computer Science,Research,Real-Time Data Processing with Apache Kafka,"Data Cleaning, Problem Solving, Web Development"
47,3.8116417436892,0,Other,None,Real-Time Data Processing with Apache Kafka,"Cloud Computing, Web Development, Data Cleaning"
48,3.571405940433875,0,Other,None,Predictive Maintenance System using IoT,"Software Development, Database Management, Data Cleaning"
49,3.8715574720696564,0,Mathematics,Volunteer Work,Web Application Development using Flask,"Machine Learning, Problem Solving, Web Development"
50,3.9121569052736467,0,Mathematics,Internship,Financial Forecasting with Time Series Analysis,"Database Management, Web Development, Statistical Analysis"
51,4.0,1,Engineering,Internship,Machine Learning Model for Predictive Analysis,"Software Development, Machine Learning, Web Development"
52,4.0,1,Chemistry,None,Predictive Maintenance System using IoT,"Problem Solving, Cloud Computing, Data Visualization"
53,3.5244661264085817,1,Mathematics,None,Capstone Project: AI-Powered Chatbot,"AI and Deep Learning, Data Cleaning, Web Development"
54,3.612434992016975,1,Computer Science,Volunteer Work,Capstone Project: AI-Powered Chatbot,"Statistical Analysis, Machine Learning, Data Visualization"
55,3.9030070534417316,0,Other,None,Sentiment Analysis on Social Media Data,"Problem Solving, Software Development, Database Management"
56,3.9027571901824416,1,Chemistry,Volunteer Work,Predictive Maintenance System using IoT,"Data Visualization, Data Cleaning, Software Development"
57,3.9030095372612092,0,Other,Internship,Sentiment Analysis on Social Media Data,"Data Cleaning, Software Development, Machine Learning"
58,4.0,0,Physics,Internship,Predictive Maintenance System using IoT,"Database Management, Cloud Computing, Machine Learning"
59,3.9141781021386333,0,Mathematics,Research,Real-Time Data Processing with Apache Kafka,"Problem Solving, Machine Learning, Software Development"
60,4.0,0,Engineering,Internship,Machine Learning Model for Predictive Analysis,"Problem Solving, Machine Learning, Cloud Computing"
61,3.99080035269864,0,Other,None,Real-Time Data Processing with Apache Kafka,"Database Management, Web Development, Data Visualization"
62,3.9302782502611593,0,Chemistry,Internship,Financial Forecasting with Time Series Analysis,"Machine Learning, Data Cleaning, Web Development"
63,3.7369461510719306,1,Computer Science,Volunteer Work,Deep Learning for Image Recognition,"Statistical Analysis, Problem Solving, Web Development"
64,3.9517938440986535,0,Computer Science,Internship,Data Visualization Dashboard using Power BI,"Database Management, Data Visualization, Web Development"
65,3.6454349570924856,0,Engineering,Research,Predictive Maintenance System using IoT,"Database Management, Cloud Computing, Problem Solving"
66,3.7526362786519982,0,Chemistry,Internship,Financial Forecasting with Time Series Analysis,"Software Development, Web Development, Database Management"
67,3.7029272904341792,0,Other,Volunteer Work,Deep Learning for Image Recognition,"Statistical Analysis, Web Development, Cloud Computing"
68,3.8163748278772642,1,Computer Science,Volunteer Work,Big Data Analysis with Spark,"Machine Learning, Web Development, Problem Solving"
69,4.0,0,Mathematics,None,Machine Learning Model for Predictive Analysis,"Software Development, Problem Solving, Data Cleaning"
